NR_conventional_hydroelectric,NER_conventional_hydroelectric,WR_conventional_hydroelectric,ER_conventional_hydroelectric,SR_conventional_hydroelectric
0.296964204,0.575193859,0.138132862,0.138132862,0.138132862
0.297161461,0.575313042,0.138160155,0.138160155,0.138160155
0.297390846,0.575393897,0.138187142,0.138187142,0.138187142
0.297581099,0.575468183,0.138151355,0.138151355,0.138151355
0.297808774,0.57555642,0.138178342,0.138178342,0.138178342
0.29800774,0.575668222,0.138242249,0.138242249,0.138242249
0.298235416,0.575704942,0.138269542,0.138269542,0.138269542
0.298425668,0.575824126,0.13826626,0.13826626,0.13826626
0.298640349,0.57588809,0.138293554,0.138293554,0.138293554
0.298859261,0.575991616,0.138320541,0.138320541,0.138320541
0.299073942,0.576050612,0.138346536,0.138346536,0.138346536
0.299278899,0.576162414,0.138312047,0.138312047,0.138312047
0.299500584,0.576235639,0.138339034,0.138339034,0.138339034
0.299705541,0.576325583,0.138365029,0.138365029,0.138365029
0.299920222,0.576398186,0.138392016,0.138392016,0.138392016
0.300123469,0.576502699,0.138390338,0.138390338,0.138390338
0.300346864,0.576562717,0.138416334,0.138416334,0.138416334
0.300550111,0.576647334,0.138443321,0.138443321,0.138443321
0.300771742,0.576730854,0.138470614,0.138470614,0.138470614
0.3009767,0.576847372,0.138497601,0.138497601,0.138497601
0.301198384,0.576922305,0.138461814,0.138461814,0.138461814
0.301403342,0.577004156,0.138489107,0.138489107,0.138489107
0.301618022,0.577121697,0.138516094,0.138516094,0.138516094
0.301829983,0.577158417,0.138542089,0.138542089,0.138542089
0.302044664,0.577271862,0.138540106,0.138540106,0.138540106
0.302247911,0.577358455,0.138567399,0.138567399,0.138567399
0.30243812,0.577416497,0.138593394,0.138593394,0.138593394
0.302683214,0.577498349,0.138620381,0.138620381,0.138620381
0.302871713,0.577615889,0.138585892,0.138585892,0.138585892
0.303101142,0.577687471,0.138612879,0.138612879,0.138612879
0.303300065,0.57777332,0.138638874,0.138638874,0.138638874
0.303527784,0.577859913,0.138666167,0.138666167,0.138666167
0.303717992,0.577955177,0.138664184,0.138664184,0.138664184
0.303947422,0.578009432,0.138690179,0.138690179,0.138690179
0.304144634,0.578126972,0.138717166,0.138717166,0.138717166
0.304374064,0.578200198,0.138744459,0.138744459,0.138744459
0.304569513,0.578267512,0.138741484,0.138741484,0.138741484
0.304784238,0.578354105,0.138735659,0.138735659,0.138735659
0.304997865,0.578458278,0.138762952,0.138762952,0.138762952
0.30521088,0.578540815,0.138789939,0.138789939,0.138789939
